customer_id,gender,age,age_group,city,state,registration_date,customer_tier,total_orders,total_spent
CUST00000001,male,48,46-55,Patiala,Punjab,2024-01-28,Gold,5,40098.48
CUST00000002,male,73,65+,Durgapur,West Bengal,2023-08-25,Platinum,8,63676.24
CUST00000003,male,31,26-35,Gurugram,Haryana,2023-08-30,Silver,0,0.0
CUST00000004,male,41,36-45,Kolkata,West Bengal,2024-03-11,Platinum,5,288324.84
CUST00000005,female,53,46-55,Noida,UP,2024-04-19,Platinum,4,69265.75
CUST00000006,female,19,18-25,Jodhpur,Rajasthan,2024-04-26,Platinum,6,195157.41
CUST00000007,male,34,26-35,Jodhpur,Rajasthan,2024-05-10,Platinum,7,216730.17
CUST00000008,female,60,56-65,Faridabad,Haryana,2024-04-02,Platinum,7,149633.69
CUST00000009,female,35,26-35,Jalandhar,Punjab,2023-10-03,Platinum,7,339103.94
CUST00000010,male,42,36-45,Alwar,Rajasthan,2023-11-22,Platinum,6,192737.1
CUST00000011,female,28,26-35,Palwal,Haryana,2023-08-29,Platinum,8,134681.04
CUST00000012,male,26,26-35,Kanpur,UP,2023-08-20,Platinum,4,415607.48
CUST00000013,female,58,56-65,Amritsar,Punjab,2023-11-10,Platinum,6,77308.68
CUST00000014,female,20,18-25,Mangalore,Karnataka,2024-03-28,Platinum,5,131378.22
CUST00000015,female,23,18-25,Pune,Maharashtra,2024-05-06,Platinum,4,81482.83
CUST00000016,female,35,26-35,Ludhiana,Punjab,2023-07-27,Platinum,8,86078.26
CUST00000017,female,21,18-25,Jalandhar,Punjab,2023-06-03,Platinum,5,208838.19
CUST00000018,female,30,26-35,Dwarka,Delhi,2023-06-21,Platinum,3,107100.8
CUST00000019,female,24,18-25,Amritsar,Punjab,2023-12-22,Platinum,8,97966.36
CUST00000020,female,45,36-45,Varanasi,UP,2024-01-25,Platinum,9,225738.85
CUST00000021,male,32,26-35,Panipat,Haryana,2024-03-18,Gold,2,27456.26
CUST00000022,male,30,26-35,Jaipur,Rajasthan,2023-10-30,Platinum,10,234104.79
CUST00000023,male,44,36-45,Bangalore,Karnataka,2024-02-18,Platinum,3,67612.09
CUST00000024,male,54,46-55,Kota,Rajasthan,2024-03-31,Platinum,3,137750.19
CUST00000025,male,61,56-65,Bangalore,Karnataka,2023-09-22,Platinum,8,50069.87
CUST00000026,male,47,46-55,Patiala,Punjab,2023-11-05,Platinum,6,68598.09
CUST00000027,male,59,56-65,Varanasi,UP,2023-06-10,Platinum,4,103770.58
CUST00000028,female,45,36-45,Thane,Maharashtra,2024-05-17,Platinum,3,219002.63
CUST00000029,female,21,18-25,Chennai,Tamil Nadu,2023-09-21,Platinum,5,309524.06
CUST00000030,female,18,18-25,Madurai,Tamil Nadu,2023-09-04,Platinum,8,156102.68
CUST00000031,male,28,26-35,Varanasi,UP,2023-12-19,Silver,1,19654.16
CUST00000032,male,43,36-45,Agra,UP,2024-01-10,Platinum,9,290079.46
CUST00000033,male,28,26-35,Gurugram,Haryana,2024-02-23,Gold,1,23832.76
CUST00000034,female,44,36-45,Delhi NCR,Delhi,2023-08-16,Platinum,4,88475.29
CUST00000035,female,24,18-25,Udaipur,Rajasthan,2023-06-12,Platinum,3,135953.8
CUST00000036,female,26,26-35,Ludhiana,Punjab,2023-10-19,Platinum,3,116977.79
CUST00000037,male,28,26-35,Varanasi,UP,2023-06-15,Platinum,1,57496.87
